2026-09-06 13:39:05,180 | INFO     | app.agents.graph | 🔌 首次初始化 MCP 客户端，正在启动高德地图服务 (仅需一次)...
2026-09-06 13:39:07,457 | INFO     | app.agents.graph | ✅ MCP 工具加载成功并缓存，共 12 个工具。后续节点将直接复用！
2026-09-06 13:39:07,637 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:39:13,026 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:39:25,373 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:39:32,763 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:39:39,395 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:39:54,085 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:39:57,710 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:40:00,508 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:40:04,630 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:40:12,703 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:40:18,438 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
2026-09-06 13:40:29,652 | INFO     | app.agents.graph | 🤖 Planner Agent 正在使用 LLM 生成行程 (纯 JSON 模式)...
2026-09-06 13:40:29,652 | INFO     | app.agents.graph | ⏳ 正在等待 LLM 返回... (精简后 Prompt 长度: 4497 字符)
2026-09-06 13:40:29,738 | INFO     | httpx2 | HTTP Request: POST https://api.deepseek.com/chat/completions "HTTP/1.1 200 OK"
